Автор,Название
Айзек Азимов,Конец вечности
,Основание
,Сами боги
,"Я, робот"
Айн Рэнд,Атлант расправил плечи
,Источник
Алан Мур,Иерусалим
,Из Ада
,Хранители
,V — значит вендетта
Александр Дюма,Три мушкетера
,20 лет спустя
,10 лет спустя
,Граф Монте-Кристо
Александр Пушкин,Борис Годунов
,Дубровский
,Евгений Онегин
,Капитанская дочка
,Повести Белкина
,Руслан и Людмила
,Сказки
Александр Солженицын,Архипелаг Гулаг
,В круге первом
,Один день Ивана Денисовича
,Раковый корпус
Алексей Сальников,Петровы в гриппе и вокруг него
Алексей Толстой,Аэлита
,Гиперболоид инженера Гарина
,Граф Калиостро
,Петр Первый
Аллен Гинзберг,Вопль
Альбер Камю,Миф о Сизифе
,Посторонний
,Чума
Анатолий Рыбаков,Дети Арбата
Андрей Платонов,В прекрасном и яростном мире
,Котлован
,Река Потудань
,Чевенгур
,Юшка
Антон Чехов,Вишневый Сад
,Дама с собачкой
,Палата № 6
,Смерть чиновника
,Толстый и тонкий
,Три сестры
,Учитель словесности
,Хирургия
,Чайка
,Человек в футляре
Антуан де Сент-Экзюпери,Маленький принц
Аристофан,Комедии
Аркадий и Борис Стругацкие,[С] Пикник на обочине
,[Н] Понедельник начинается в субботу
,[Н] Сказка о Тройке
,[П Т] Трудно быть богом
,[П К] Обитаемый остров
,[П К] Жук в муравейнике
,[П К] Волны гасят ветер
,[У] Улитка на склоне
Борис Акунин,Азазель
,Турецкий гамбит
,Левиафан
,Смерть Ахиллеса
,Статский советник
Булат Окуджава,Путешествие дилетантов
Валентин Распутин,Прощание с Матерой
,Уроки французского
Вальтер Скотт,Айвенго
Варлам Шаламов,Колымские рассказы
Василий Гроссман,Жизнь и судьба
Венедикт Ерофеев,Москва-Петушки
Вениамин Каверин,Два капитана
Виктор Гюго,Девяносто третий год
,Отверженные
,Собор Парижской Богоматери
Виктор Драгунский,Денискины рассказы
Виктор Пелевин,Затворник и Шестипалый
,Омон Ра
,Желтая стрела
,Жизнь насекомых
,Чапаев и пустота
,Generation П
,Числа
,Священная книга оборотня
,Empire V
,Бэтман Аполло
,t
,S.N.U.F.F.
,П5
,Смотритель
,Лампа Мафусаила
,Искусство легких касаний
,Тайные виды на гору Фудзи
,Непобедимое Солнце
,Transhumanism Inc.
,KGBT+
Владимир Маяковский,Баня
,Клоп
,Люблю
,Стихотворения
,Облако в штанах
,Про это
Владимир Набоков,Ада
,Дар
,Защита Лужина
,Камера обскура
,Лекции о «Дон Кихоте»
,Лолита
,"Облако, озеро, башня"
,Подвиг
,Приглашение на казнь
Владимир Сорокин,Голубое сало
,День опричника
,Лед
,Норма
,Роман
,Сахарный кремль
,Теллурия
Габриэль Гарсиа Маркес,Осень патриарха
,Палая листва
,Полковнику никто не пишет
,Сто лет одиночества
Генри Миллер,Тропик Рака
Георгий Иванов,Стихотворения
Герман Гессе,Игра в бисер
,Сиддхартха
,Степной Волк
Герман Мелвилл,Моби Дик
Ги де Мопассан,Два друга
,Милый друг
Говард Филлипс Лавкрафт,Затаившийся страх
,Зов Ктулху
,Кошмар По-эта
,Некрономикон
,Хребты безумия
,Энциклопедия: Миры Лавкрафта
Гомер,Иллиада
,Одиссея
Григорий Остер,Вредные советы
Гюстав Флобер,Воспитание чувств
,Госпожа Бовари
Даниил Хармс,"Все бегут, летят и скачут"
,О явлениях и существованиях
,Старуха
Данте Алигьери,Божественная комедия
Джеймс Джойс,Улисс
Джек Керуак,Биг-Сур
,Бродяги Дхармы
,В дороге
Джек Лондон,Белый клык
,Зов предков
,Мартин Иден
Джером Сэлинджер,Над пропастью во ржи
Джефф Нун,Вирт
Джоан Роулинг,ГП. Философский камень 
,ГП. Тайная комната
,ГП. Узник Азкабана
,ГП. Кубок огня
,ГП. Орден феникса
,ГП. Принц полукровка
,ГП. Дары смерти
,Квиддич с древности до наших дней
,Проклятое дитя
,Фантастические звери и места их обитания
Джозеф Кэмпбелл,Тысячеликий герой
Джозеф Хеллер,Уловка-22
Джон Бойн,Мальчик в полосатой пижаме
Джон Гришэм,Дело о пеликанах
,Клиент
,Пора убивать
,Фирма
Джон Мильтон,Потерянный рай
Джон Р. Р. Толкин ,The Hobbit
,LOTR. The Fellowship of the Ring
,LOTR. The Two Towers
,LOTR. The Return of the King
,The Silmarillion
,Unfinished Tales of Numenor and Middle-earth
,Эссе О волшебных сказках
Джонатан Свифт,Путешествия Гулливера
Джордж Бернард Шоу,Человек и сверхчеловек
,Пигмалион
,Ученик дьявола
,Цезарь и Клеопатра
Джордж Оруэлл,1984
,Скотный двор
Дмитрий Быков,Орфография
Дуглас Адамс,Автостопом по Галактике
,Ресторан на краю Вселенной
,"Жизнь, Вселенная и все остальное"
,"Всего хорошего, и спасибо за рыбу!"
,В основном безвредна
Дуглас Норт,Насилие и социальные порядки
Дэвид Фостер Уоллес,Бесконечная шутка
Дэниел Киз,Таинственная история Билли Миллигана
,Цветы для Элджернона
Евгений Водолазкин,Авиатор
,Брисбен
,Лавр
Евгений Замятин,Мы
Евгений Шварц,Дракон
,Сказка о потерянном времени
Жан-Батист Мольер,Мизантроп
,Мнимый больной
,Скупой
,"Тартюф, или Обманщик"
Жюль Верн,Двадцать тысяч лье под водой
,Дети Капитана Гранта
,Вокруг света за 80 дней
,Путешествие к центру Земли
Иван Бунин,Господин из Сан-Франциско
,Дурочка
,Окаянные дни
,Темные аллеи
Иван Тургенев,Ася
,Записки охотника
,Муму
,Отцы и Дети
Илья Ильф и Евгений Петров,12 стульев
,Золотой теленок
Илья Масодов,Мрак твоих глаз
,Сладость губ твоих нежных
,Тепло твоих рук
,Черти
Иоганн Гете,Фауст
Ирвин Уэлш,Дерьмо
,На игле
,Порно
Ирвин Шоу,"Богач, бедняк"
,Ночной портье
Кадзуо Исигуро,Не отпускай меня
Кен Кизи,Над кукушкиным гнездом
Клайв Льюис,Мерзейшая мощь
,Пока мы лиц не обрели
Кормак Маккарти,Дорога
,Кровавый меридиан
,Старикам тут не место
Курт Воннегут,"Бойня номер пять, или Крестовый поход детей"
,Гаррисон Бержерон
,Колыбель для кошки
Лев Толстой,Анна Каренина
,Война и мир
,Воскресение
,Два гусара
,Кавказский пленник
,Смерть Ивана Ильича
,Хаджи-Мурат
,Холстомер
Леонид Соловьев,Возмутитель спокойствия
Лудовико Ариосто,Неистовый Роланд
Лю Цысинь,Задача трех тел
,Темный лес
,Вечная жизнь Смерти
Мариам Петросян,"Дом, в котором"
Марио Пьюзо,Крестный отец
Марк Твен,Приключения Гекльберри Финна
,Приключения Тома Сойера
Маркиз де Сад,120 дней Содома
,Философия в будуаре
Марсель Пруст,В поисках утраченного времени
Мартин Макдонах,Человек-подушка
Мигель де Сервантес,Дон Кихот
,Назидательные новеллы
Милан Кундера,Невыносимая легкость бытия
Михаил Булгаков,Белая Гвардия 
,Мастер и Маргарита
,Морфий
,Собачье Сердце
Михаил Веллер,Заговор сионских мудрецов
,Легенды Арбата
,Легенды Невского проспекта
Михаил Елизаров,Библиотекарь
,Мультики
Михаил Зощенко,Рассказы
Михаил Лермонтов,Бородино
,Герой нашего времени
,Демон
,Мцыри
Михаил Салтыков-Щедрин,Господа Головлевы
,История одного города
,Сказки
Михаил Шолохов,Донские рассказы
,Судьба человека
,Тихий Дон
Николай Гоголь,Вечера на хуторе близ Диканьки
,Мертвые души
,Нос
,Ревизор
,Тарас Бульба
,Шинель
Николай Носов,Незнайка в солнечном городе
,Незнайка на Луне
,Приключения Незнайки и его друзей
Олдос Хаксли,О дивный новый мир
Оскар Уайльд,Кентервильское привидение
,Портрет Дориана Грея
Пауло Коэльо,Алхимик
Проспер Мериме,Кармен
Роальд Даль,Большой и Добрый Великан
,Ведьмы
,Джеймс и гигантский персик
,Изумительный мистер Лис
,Матильда
,Чарли и шоколадная фабрика
Роберт Говард,Конан
Роберт Музиль,Человек без свойств
Роберт Льюис Стивенсон,Странная история др. Джекила и мр. Хайда
Рэй Брэдбери,451 градус по Фаренгейту
,Вино из одуванчиков
,Марсианские хроники
Себастьян Хафнер,История одного немца
Сергей Довлатов,Заповедник
,Иностранка
,Компромисс
,Филиал
,Чемодан
Сергей Есенин,Анна Снегина
,Стихотворения
,Черный человек
Софокл,Антигона
,Царь Эдип
,Электра
Станислав Лем,Солярис
Стендаль,Красное и черное
Стивен Кинг,Зеленая миля
,Институт
,Кладбище домашних животных
,Кэрри
,Темная башня
,Оно
,Сияние
Татьяна Толстая,Кысь
,Некысь
Теодор Драйзер,Финансист
,Титан
,Стоик
Терри Прачетт,Безумная звезда
,Мрачный Жнец
,Цвет волшебства
Томас Манн,Будденброки
,Волшебная гора
,Доктор Фаустус
,Смерть в Венеции
Торнтон Уайлдер,Мост короля Людовика Святого
Туве Янссон,Муми-Тролли
Уильям Берроуз,Голый завтрак
,Джанки
,И бегемоты сварились в своих бассейнах
,Пидор
Уильям Голдинг,Повелитель мух
Уильям Стайрон,Выбор Софи
Уильям Теккерей,Ярмарка тщеславия
Уильям Шекспир,Гамлет
,Кориолан
,Король Лир
,Макбет
,Ромео и Джульетта
Умберто Эко,Имя Розы
,Маятник Фуко
Федор Достоевский,Бесы
,Братья Карамазовы
,Записки из подполья
,Идиот
,Преступление и наказание
Федор Сологуб,Мелкий бес
Филипп Дик,Мечтают ли андроиды об электроовцах?
,Человек в высоком замке
Франц Кафка,Процесс
,Превращение
,Замок
Фредрик Бакман,Вторая жизнь Уве
Фрэнк Герберт,Дюна
,Мессия Дюны
,Дети Дюны
,Бог-император Дюны
,Еретики Дюны
,Капитул Дюны
Ханья Янагихара,Маленькая жизнь
Харлан Эллисон,"У меня нет рта, но я должен кричать"
Харпер Ли,Убить пересмешника
Харуки Мураками,Кафка на пляже
,Норвежский лес
,Охота на овец
,Страна чудес без тормозов
,Хроники заводной птицы
Хорхе Луис Борхес,4 сюжета
,Вавилонская библиотека
,Вымышленные истории
Чак Паланик,Бойцовский клуб
,Призраки
Чарльз Буковски,Женщины
,Макулатура
,Почтамт
,Фактотум
,Хлеб с ветчиной
Чарльз Диккенс,Большие надежды
,Приключения Оливера Твиста
Эдгар Алан По,Ворон
,Золотой жук
,Сердце-обличитель
Эдмон Ростан,Сирано де Бержерак
Эдуард Лимонов,Дневник неудачника
,История его слуги
,Молодой негодяй
,"Это я, Эдичка"
Элиезер Юдковский,Гарри Поттер и методы рационального мышления
Эльдар Бродвей,Лучший друг
Энтони Берджесс,1985
,Заводной апельсин
Эрих Мария Ремарк,Время жить и время умирать
,Земля обетованная
,Жизнь взаймы
,Ночь в Лиссабоне
,Три товарища
Эрнест Хемингуэй,И восходит солнце
,Кошка под дождем
,По ком звонит колокол
,Прощай оружие
,Снега Килиманджаро
,Старик и море
Ямамото Цунэтомо,Хагакурэ
Ярослав Гашек,Похождения бравого солдата Швейка
Андреас Мюллер,Введение в МО с помощью Python
Андрей Бурков,Машинное обучение без лишних слов
Джоэл Грас,Data Science с нуля
Тарик Рашид,Создаем нейронную сеть
Том Таулли,Основы искуственного интеллекта
Хенрик Бринк,Машинное обучение
Шолле Франсуа,Глубокое обучение на Python
Эндрю Траск,Грокаем глубокое обучение
Адитья Бхаргава,Грокаем алгоритмы
Аурель Фосс,Сущность математики
Джордж Хайнеман,Алгоритмы. Справочник с примерами
Никлаус Вирт,Algorithms + Data Structures = Programs
Тим Рафгарден,Совершенный алгоритм ч.1
,Совершенный алгоритм ч.2
,Совершенный алгоритм ч.3
Томас Кормен,Алгоритмы 
Гейл Макдауэлл,Карьера программиста
Дональд Кнут,Искусство программирования ч.1
,Искусство программирования ч.2
,Искусство программирования ч.3
,Искусство программирования ч.4
Мартин Клеппман,Высоконагруженные приложения
Мартин Фаулер,Рефакторинг. Улучшение существующего кода
Рендалл Хайд,Write Great Code ч.1
,Write Great Code ч.2
Роберт Мартин,Идеальный программист
,Чистая Agile
,Чистая архитектура
,Чистый код
Спрол Антон,Думай как программист
Стив Макконнелл,Совершенный код
Чад Фаулер,Программист-фанатик
Чарльз Петцольд,Код: тайный язык информатики
Эндрю Таненбаум,Архитектура компьютера
,Компьютерные сети
,Современные операционные системы
Алексей Васильев,Программирование на C в примерах и задачах
,Программирование на C++ в примерах и задачах
"Б. Керниган, Д. Ритчи",Язык программирования С
Брайан Страуструп,Язык программирования С++
Майкл Банахан,The C Book
Скотт Мейерс,Эффективный и современный С++
Стивен Прата,Язык программирования C. Лекции и упражнения
,Язык программирования C++. Лекции и упражнения
Игорь Жирков,Low-Level Programming
Алан Донован,Язык программирования Go
Джей Макгаврен,Изучаем Go
Максим Жашкевич,Язык Go для начинающих
Михалис Цукалос,Golang для профи
Джеймс Форшоу,Атака сетей на уровне протоколов
Дэниел Грэм,Этичный хакинг
Михаил фленов,Linux глазами хакера
,Web-сервер глазами хакера
Рафаэль Херцог,Kali Linux от разработчиков
Сергей Бабин,Инструментарий хакера
Ларри Уолл,Программирование на Perl
Рэндел Шварц & Брайан Д Фой,Learning Perl
,Intermediate Perl
,Mastering Perl
Натан Торкингтон,Perl Cookbook
Алексей Васильев,Программирование на Python в примерах и задачах
Ив Хилпиш,Financial Theory with Python
Марк Лутц,Изучаем Python ч.1
,Изучаем Python ч.2
,Программирование на Python ч.1
,Программирование на Python ч.2
,Python. Карманный справочник
Алан Бьюли,Изучаем SQL
Сейед Тахагхогхи,Руководство по MySQL
Андрей Маркелов,Введение в технологии контейнеров и Kubernetes
Бен Штрауб,Pro Git
Дерек де Йонге,NGINX. Книга рецептов
Джеффри Фридл,Регулярные выражения
Линус Торвальдс,Записки нечаянного революционера
Мендель Купер,Advanced bash-scripting
Рик Мессье,Learning Kali Linux
Стивен Раго,UNIX. Профессиональное программирование
Уильям Шоттс,Командная строка Linux
Эви Немет,Unix и Linux. Руководство системного администратора
Юреш Вахалия,UNIX изнутри
Алекс Форк,Bitcoin. Больше чем деньги
Алексей Бурков,"Ethereum: работа с сетью, смарт-контракты"
Андреас Антонопулос,Осваиваем Bitcoin
,Осваиваем Ethereum
Даниэль Дрешер,Основы блокчейна
Дон Тапскот,Блокчейн-революция
Евгений Филлипов,Криптовалюта от А до Я
Лоран Лелу,Блокчейн от А до Я
Натаниел Поппер,Цифровое золото
Пол Винья,Эпоха криптовалют
Розенбаум Калле,Грокаем технологию Биткоин
Сатоши Накамото,Белая книга
Адам Смит,О природе и причинах богатства народов
Александр Аузан,Культурные коды экономики
,Экономика всего
Александр Минкин,Нежная душа
,Немой Онегин
,Чайка на воде
Александр Силаев,Деньги для дураков
Алексей Савватеев,Занимательная экономика
,Математика для гуманитариев
Алексей Марков,Жлобология
,Криптвоюматика
,"Лягушка, слон и брокколи"
,Хулиномика
Артемий Лебедев,Ководство
Ася Казанцева,В интернете кто-то неправ!
,Кто бы мог подумать!
,Мозг материален
Барри Нейлбафф,Теория игр
Бенджамин Грэм,Разумный инвестор
Бенджамин Франклин,Время - деньги. Автобиография
Бертон Малкиел,Случайная прогулка по Уолл-стрит
Билл Брайсон,Краткая история почти всего на свете
Виктор Франкл,"Сказать жизни ""ДА!"": психолог в концлагере"
Генри Форд,"Моя жизнь, мои достижения"
Генри Хазлитт,Экономика за один урок
Геродот,История
Даниэль Канеман,"Думай медленно, решай быстро"
Дарон Аджемоглу,Почему государства терпят неудачи
Джеймс Дейл Дэвидсон,The Sovereign Individual
Джек Кэнфилд,Цельная жизнь
Джеффри Колвин,Humans Are Underrated
,Talent Is Overrated
Джозеф Стиглиц,"Люди, власть и прибыль"
Джон Мейнард Кейнс,"Общая теория занятости, процента и денег"
Джордан Элленберг,Как не ошибаться
Джордж Клейсон,Самый богатый человек в Вавилоне
Дональд Трамп,Искусство заключать сделки
Дэвид Аллен,Как привести дела в порядок
Дэни Родрик,Экономика решает
Дэниел Левитин,Путеводитель по лжи
Евгений Жаринов,Диалог эпох
,От Гомера до Данте
,От Шекспира до Агаты Кристи
Леонард Млодинов,(Не)Совершенная случайность
Кернер Ян,Она кончает первой
Кит Феррацци,Никогда не ешьте в одиночку
Лола Экерстрем,Lagom
Максим Кац,100 советов мэру
,История новой России
Малкольм Гладуэлл,Гении и аутсайдеры
Мартин Селигман,Как научиться оптимизму
Маршалл Розенберг,Ненасильственное общение
Михаил Зыгарь,Все свободны
,Вся кремлевская рать
,Империя должна умереть
Михаил Лабковский,Хочу и буду
Насим Талеб,Антихрупкость
,О секретах устойчивости
,Одураченный случайностью
,Черный лебедь
Николай Кун,Илиада и Одиссея
,Легенды и мифы Древней Греции
,Приключения Одиссея
Оливер Сакс,Антрополог на Марсе
,Галлюцинации
,"Человек, который принял жену за шляпу"
"Оскар Хартманн",Просто делай! Делай просто!
Петр Авен,Время Березовского
Питер Тиль,От нуля к единице
Пол Грэм,Хакеры и художники
Райан Норт,Как изобрести все
Ричард Брэнсон,Берись и делай!
Ричард Докинз,Бог как иллюзия
,Слепой часовщик
,Эгоистичный ген
Ричард Шелл,Стратегия успеха
Роберт Гловер,Хватит быть славным парнем
Роберт Кийосаки,"Богатый Папа, Бедный Папа"
Ролан Барт,Смерть автора
Роман Трахтенберг,Вы хотите стать звездой?
Рэй Далио,Принципы
Сергей Алексашенко,Русское экономическое чудо: что пошло не так?
Сергей Волков,Почему РФ - не Россия
Сергей Гуриев,Мифы экономики
Скотт Адамс,Как потерпеть неудачу и добиться успеха
Стивен Дабнер и Стивен Левитт,Фрикономика
,Суперфрикономика
Стивен Кови,Семь навыков высокоэффективных людей
Стивен Ландсбург,Экономист на диване
Стивен Хокинг,Высший замысел
,Краткая история времени
Тони Шварц,"То, как мы работаем - не работает"
Уильям Бернстайн,Манифест инвестора
Уильям Пауэлл,Поваренная книга анархиста
Уолтер Айзексон,Инноваторы
,Стив Джобс
Уоррен Баффетт,"Эссе об инвестициях, корпоративных финансах"
Филип Котлер,Основы маркетинга
Фредерик Бастиа,Что видно и чего не видно
Фредерик Лалу,Открывая организации будущего
Ха-Джун Чанг,Как устроена экономика
Чарлз Дарвин,Происхождение видов
Эдит Ева Эгер,Выбор
Элияху Голдратт,Цель
Эрик Рис,Бизнес с нуля
Юваль Ной Харари,Sapiens
,Homo Deus
,21 урок для XXI века
Юлия Гиппенрейтер,Самая важная книга для родителей
Юрий Лотман,"Комментарии к роману ""Евгений Онегин"""
Адольф Гитлер,Моя борьба
Александр Дугин,Ноомахия
,Поп-культура и знаки времени
,Четвертая политическая теория
Аристотель,Категории
,Логика
,Метафизика
,Никомахова этика
,О природе
,Риторика и поэтика
,Физика
,Этика и политика
Артур Шопенгауэр,Афоризмы житейской мудрости
,Мир как воля и представление
Бенедикт Спиноза,Богословско-политический трактат
,"О Боге, человеке и его счастье"
Бенито Муссолини,Доктрина фашизма
,Философия силы
Бертран Рассел,История западной философии
Библия,Детская Библия
,Ветхий завет
,Новый завет
Владимир Ленин,Государство и революция
Вольтер,Философский словарь
Вьяса,Бхагавадгита
Гай Юлий Цезарь,Записки о Галльской войне
Гераклит,О природе
Ги Дебор,Общество спектакля
Джон Локк,Два трактата о правлении
,Опыт о человеческом разумении
Джордж Беркли,Трактат о принципах человеческого знания
Дмитрий Галковский,Бесконечный тупик
Дэвид Юм,Трактат о человеческой природе
Жан Бодрийяр,Симулякры и симуляция
Жак Деррида,О грамматологии
,Письмо к японскому другу
Зигмунд Фрейд,Введение в психоанализ
Иммануил Кант,Критика чистого разума
Иосиф Сталин,Экономические проблемы социализма в СССР
Исаак Ньютон,Математические начала натуральной философии
Карл Маркс,Капитал
,Манифест Коммунистической партии
Конфуций,Беседы и суждения
Лао-цзы,Дао дэ цзин
Лев Троцкий,Моя жизнь
,Перманентная революция
Майкл Льюис,Отмененный проект
Майкл Паттон,Философия. Краткий курс в комиксах
Макс Вебер,Протестантская этика и дух капитализма
Марк Туллий Цицерон,Катилинарии
,О государстве
,Об ораторе
Мартин Хайдеггер,Бытие и время
Михаил Бакунин,Государственность и анархия
Михаил Восленский,Номенклатура
Михаил Ходорковский,Как убить дракона?
Моше Гесс,Рим и Иерусалим
Мухаммед,Коран
Мюррей Ротбард,Анатомия Государства
,Государство и деньги
,К новой свободе: либертарианский манифест
Никколо Макиавелли,Государь
Освальд Шпенглер,Закат Европы
Падмасамбхава,Тибетская книга мертвых
Петр Кропоткин,"Анархия, ее философия, ее идеал"
Платон,Апология Сократа
,Государство
,Пир
Пол Клейман,Философия. Краткий курс
Рене Декарт,Размышления о первой философии
Снорри Стурлусон,Старшая Эдда
,Старшая Эдда
,Круг Земной
Сунь-цзы,Искусство войны
Теодор Качински,Индустриальное общество и его будущее
Томас Гоббс,Левиафан
Томмазо Кампанелла,Город Солнца
Фридрих Ницше,Антихристианин
,Веселая наука
,Воля к власти
,Греческое государство
,Об истине и лжи
,Олимпийское соревнование
,По ту сторону добра и зла
,Так говорил Заратустра
Фридрих фон Хайек,Дорога к рабству
Ханс-Херман Хоппе,Демократия - низвергнутый бог
Эдмунд Берк,Размышления о Французской революции
Юдзан Дайдодзи,Бусидо